px_code,description,price
27200144,HC COUDE CATHETER 14FR,37.97
27200145,HC COUDE CATHETER 16FR,37.97
27200146,HC COUDE CATHETER 18FR,37.97
27200147,HC COUDE CATHETER 20FR,35.49
27200148,HC COUDE CATHETER 22FR,37.97
27200149,HC COUDE CATHETER 24FR,35.49
27200150,HC SUCTION CATHETER KIT 14FR,5.31
27200151,HC DIALYSIS HEMO CATH TRAY L28,"1,077.13"
27200152,"HC IVS ANGIO CATH 20GAX1.88"" ART",40.97
27200153,"HC IVS ANGIO CATH 22GAX1"" ART",33.66
27200154,HC TRAY CATH FOLEY NON AG 16FR,73.96
27200155,HC TRAY CATH FOLEY NON AG 18FR,73.96
27200156,HC CATH SET DIA SCHON 15CM,934.54
27200157,HC CATH SET DIA SCHON 20CM,934.54
27200158,HC CATH CHF DL XLT COILED,594.15
27200159,HC CATH URO FO KIT 8FR 3ML LF,141.34
27200160,HC CATH URO FO KIT 10FR 3ML LF,140.53
27200161,HC CATH URO FO KIT 14FR 5ML LF,45.69
27200162,HC KIT CATH PED URIN 8FR LF,17.55
27200163,HC CATH TRAY FO 16FR SLV,146.48
27200164,HC CATH TRAY FO 14FR LTXFR,118.61
27200165,HC CATH TRAY FO TEMP 16FR SLV,296.91
27200166,HC CATH TRAY FO 16FR URINMET SLV,196.52
27200167,HC CATH TRAY FO 18 SLV,146.48
27200168,HC CATH TRAY FO TEMP 18FR SLV,296.91
27200169,HC CATH TRAY ADD A FOLEY,144.11
27200170,HC KIT DIALYSIS CATHETER,107.18
27200171,HC ANGIO CATH 14GA X2,18.23
27200172,HC ANGIO CATH 16GA X 1 1/4,18.11
27200173,HC ANGIO CATH 16GA X 2,18.23
27200174,HC ANGIO CATH 18GA X 2,18.11
27200175,HC ANGIO CATH 18GA X 1 1/4,18.11
27200176,HC ANGIO CATH 20GA X 1 1/4,18.12
27200177,HC ANGIO CATH 20GA X 2,18.11
27200178,HC ANGIO CATH 22GA X 1,18.11
27200179,HC ANGIO CATH 24GA X 3/4,18.11
27200180,HC SUPPLY RC 272 C1893,0
27200181,HC SUPPLY RC 272 C1894,0
27200182,HC SUPPLY RC 272 C2629,0
27200183,HC SUPPLY RC 272 C2630,0
27200184,HC SUPPLY RC 272 C1884,0
27200185,HC MONITORED DRAINGE BAG,153.88
27200203,HC SUPPLY RC 272 C1887,0
27200210,HC FOLEY CATH NON LATEX 30 ML,73.33
27200211,HC PLASTIC G TRAY,221.2
27200212,HC NASAL HEMMORHAGE TRAY,86.56
27200213,HC SUPPLY RC 272 C1892,0
27200219,HC SUPPLY RC 272 C1887,0
27200237,HC VENTRICULOSTOMY DRAINAGE SET,813.86
27200238,HC VENTRICULAR CATHETER 35 CM,575.83
27200239,HC OLM INTRACRANIAL PRESSURE KIT,"1,692.62"
27200240,HC MONITOR DRAINAGE BAG,189.95
27200241,HC COMPLETE LICOX PROBE SET,"2,773.35"
27200242,HC L-CATHETER 110-4L,"1,866.93"
27200243,HC INTEGRA LUMBAR CATHETER,663.59
27200244,HC MEDTRONIC LUMBAR CATHETER,754.95
27200245,HC MEDTRONIC VENTRICULR CATH 35CM,574.63
27200246,HC PNEUMOTHORAX KIT,968.93
27200247,HC RUSCH CATHETER,117.82
27200248,HC SP02 CATH 4.5FR 8CM,"1,319.97"
27200249,HC SP02 CATH 5.5FR 15CM,"1,319.97"
27200260,HC COUDE CATHETER  3-WAY L22,464.65
27200263,HC POWER PICC (CATH WITH TRAY),"1,046.16"
27200264,HC KNEE ASPIRATION TRAY,132.37
27200265,HC CS LAZARUS-NELSON LAVAGE TRAY,234.64
27200266,HC THERMODILUTION CATHETER 7FR,297.45
27200267,HC THERMODILUTION CATH 8FR5LU110C,343.51
27200268,HC TRAY PICC SAFETY 4FR,839.93
27200269,HC TRAY  CVC 5FR 5CM TL,635.11
27200270,HC FOLEY CATHETER 18FR SILICONE,40.74
27200271,HC TRAY GENERAL RADIOLOGY,141.5
27200272,HC FOLEY CATHETER 5ML 22FR,83.8
27200273,HC FOLEY CATHETER 5ML 26FR,64.93
27200274,HC LATEX FREE FOLEY CATH 18FR,106.64
27200275,HC COUNCIL CATHETER 22FR 5ML,170.53
27200276,HC CATH TRAY FO 16FR SILV,161.96
27200277,HC CATH TRAY FO 18FR SILV,161.96
27200278,HC CATH TRAY FO 16FR URINMET SILV,211.97
27200279,HC CATH TRAY FO TEMP 16FR SILV,312.35
27200280,HC CATH TRAY FO TEMP 18FR SILV,280.52
27200281,HC CATH TRAY FO 16FR,133.1
27200282,HC CATH TRAY FO 18FR,123.83
27200283,HC AIRWAY EXCHANGE CATH - ADULT,290.92
27200284,HC AIRWAY EXCHANGE CATH - PEDS,271.69
27200285,HC TRANSTRACHEAL AIRWAY CATH,268.09
27200286,HC SUPPLY RC 272 C1769,0
27200287,HC SUPPLY RC 272 C1773,0
27200288,HC SUPPLY RC 272 C1726,0
27200289,HC SUPPLY RC 272 C1782,0
27200328,HC CATHETER UROGICAL BARD UROLOGICAL ROB RED LATEX 16 FR,133.39
27200329,HC THORACENTESIS TRAY,451.85
27200330,HC CATH MIDLINE POWER 20G 8CM,501.38
27200331,HC CATH MIDLINE POWER 20G 10CM,501.38
27200332,HC CATH MIDLINE POWER 22G 8CM,501.38
27200333,HC CATH MIDLINE POWER 18G 10CM,501.38
27200334,HC SUPPLY RC 272 C2628,0
27200335,HC ER-REBOA CATHETER,"10,892.72"
27200336,HC POWER MIDLINE (CATH WITH TRAY),870.96
27200337,HC CATH MALE EXTNL SM 25MM LF ST#1,7.7
27200338,HC CATH MALE EXTNL MD 29MM LF ST#1,7.7
27200339,HC CATH MALE EXTNL LG 32MM LF ST#1,7.7
27200340,HC CATH MALE EXTNL 36MM LF ST#1,7.7
27200341,HC CATH MALE EXTNL 25MM LF ST#2,9.56
27200342,HC CATH MALE EXTNL 29MM LFST#2,9.56
27200343,HC CATH MALE EXTNL 32MM LF ST#2,9.56
27200344,HC CATH MALE EXTNL 36MM LF ST#2,9.56
27200345,HC CATH ATRIOSEPTOSTOMY 5FR 50CM (RASHKIND),"4,256.00"
27200346,HC CATH INTRO COO 6.3FR 16CM (RASHKIND),204.56
27200347,HC FEMALE EXTERNAL URINARY  DEVICE (PUREWICK),76.16
27200348,HC CENTRAL VENOUS CATH SET 16G IN,147.02
27200349,HC TRAY FOLEY CATHETER LATEX-FREE 16FR 5ML BALLOON,188.28
27200350,"HC CATHETER IV ACCUCATH 18G, 20G, 22G X 1.25""",235.62
27200351,"HC CATHETER IV ACCUCATH 18G, 20G X 2.25""",449.82
27200352,HC NAVA CATH PHT FREE 6FR/49CM,"1,361.45"
27200353,HC NAVA CATH PHT FREE 6FR/50CM,"1,361.45"
27200354,HC CATH EDW SWAN GANZ CCOMB,"1,293.95"
27400001,HC SPLINT ANT ELBOW,503.71
27400003,HC FOREARM/ARM CUFFS FREE MOTIO,"1,261.06"
27400005,HC SPLINT MUENS/SUGARTONG,"1,658.97"
27400007,HC SPLINT POST ELBOW W/WRIST,"1,384.88"
27400009,HC SPLINT S-P/DYN ELBOW OR FORE,"1,381.28"
27400011,HC SPLINT POST ELBOW WRIST HAND,"2,233.59"
27400013,HC WHFO W/JOINT(S) CUSTOM FAB,792.21
27400014,HC SPLINT RAD N/MCP REPLACE,792.21
27400015,HC SPLINT MCP FLEX,792.21
27400016,HC SPLINT DBS/RESTING,583.04
27400017,HC SPLINT THUMB SPICA,583.04
27400018,HC SPLINT DYN TENDON,"2,721.66"
27400020,HC SPLINT S-P/DYN WRIST,"1,727.49"
27400022,HC SPLINT P-1 BLOCK,735.71
27400023,HC SPLINT WRIST/U OR R GUTTER,735.71
27400025,HC SPLINT PREFAB WRIST,105.8
27400027,HC SPLINT PREFAB HAND FLEX GLOV,168.3
27400030,HC SPLINT DYN HAND,560.21
27400032,HC SPLINT PREFAB SPRING,147.87
27400034,HC SPLINT MALLET/DBS,372.67
27400036,HC SPLINT S-P/DYN FINGER,385.9
27400038,HC OT SPLINT ANT ELBOW,503.71
27400039,HC OT SPLINT POST ELBOW W/O WRIST,"1,261.06"
27400040,HC OT SPLINT MUENS/SUGARTONG,"1,658.97"
27400041,HC OT SPLINT POST ELBOW W/WRIST,"1,384.88"
27400042,HC OT SPLINT S-P/DYN ELBOW OR FORE,"1,381.28"
27400043,HC OT SPLINT POST ELBOW WRIST HAND,"2,233.59"
27400044,HC OT SPLINT RAD N/MCP REPLACE,792.21
27400045,HC OT SPLINT DBS/RESTING,583.04
27400046,HC OT SPLINT THUMB SPICA,583.04
27400047,HC OT SPLINT S-P/DYN WRIST,"1,727.49"
27400048,HC OT  SPLINT WRIST/U OR R GUTTER,735.71
27400049,HC OT SPLINT P-1 BLOCK,735.71
27400050,HC OT SPLINT PREFAB WRIST,105.8
27400051,HC OT SPLINT PREFAB HAND FLEX GLOV,168.3
27400052,HC OT SPLINT LOW OPP,471.25
27400053,HC OT SPLINT STATIC HAND,471.25
27400054,HC OT SPLINT DYN HAND,560.21
27400055,HC OT SPLINT PREFAB SPRING,147.87
27400056,HC OT SPLINT MALLET/DBS,372.67
27400057,HC OT PLINT S-P/DYN FINGER,385.9
27400058,HC INDWELLING VOICE PROSTHESIS,181.52
27400062,HC SPLINT STATIC HAND,471.25
27400065,HC SPLINT LOW OPP,471.25
27500001,HC SUPPLY RC 275,0
27500002,HC SUPPLY RC 275 C1721,0
27500003,HC SUPPLY RC 275 C1722,0
27500004,HC SUPPLY RC 275 C1779,0
27500005,HC SUPPLY RC 275 C1785,0
27500006,HC SUPPLY RC 275 C1786,0
27500007,HC SUPPLY RC 275 C1882,0
27500008,HC SUPPLY RC 275 C1895,0
27500009,HC SUPPLY RC 275 C1896,0
27500010,HC SUPPLY RC 275 C1898,0
27500011,HC SUPPLY RC 275 C1899,0
27500012,HC SUPPLY RC 275 C1900,0
27500013,HC SUPPLY RC 275 C2621,0
27500015,HC SUPPLY  RC 275 C1777,0
27600001,HC SUPPLY RC 276 C1780,0
27600002,HC SUPPLY RC 276 V2632,0
27600003,HC SUPPLY RC 276 V2787,0
27600004,HC SUPPLY RC 276 V2788,0
27600005,HC SUPPLY RC 276 V2630,0
27800001,HC SUPPLY RC 278,0
27800002,HC SUPPLY RC 278 C1750,0
27800003,HC SUPPLY RC 278 C1752,0
27800004,HC SUPPLY RC 278 C1755,0
27800005,HC SUPPLY RC 278 C1760,0
27800006,HC SUPPLY RC 278 C1762,0
27800007,HC SUPPLY RC 278 C1763,0
27800008,HC SUPPLY RC 278 C1764,0
27800009,HC SUPPLY RC 278 C1765,0
27800010,HC SUPPLY RC 278 C1768,0
27800011,HC SUPPLY RC 278 C1771,0
27800012,HC SUPPLY RC 278 C1772,0
27800013,HC SUPPLY RC 278 C1776,0
27800014,HC SUPPLY RC 278 C1778,0
27800015,HC SUPPLY RC 278 C1781,0
27800016,HC SUPPLY RC 278 C1789,0
27800017,HC SUPPLY RC 278 C1813,0
27800018,HC SUPPLY RC 278 C1815,0
27800019,HC SUPPLY RC 278 C1876,0
27800020,HC SUPPLY RC 278 C1821,0
27800021,HC SUPPLY RC 278 C1713,0
27800022,HC SUPPLY RC 278 C1875,0
27800023,HC SUPPLY RC 278 C1874,0
27800024,HC SUPPLY RC 278 C1877,0
27800025,HC SUPPLY RC 278 C1878,0
27800026,HC SUPPLY RC 278 C1880,0
27800027,HC SUPPLY RC 278 C1817,0
27800029,HC SUPPLY RC 278 C2616,0
27800030,HC SUPPLY RC 278 C2617,0
27800031,HC SUPPLY RC 278 C2622,0
27800033,HC SUPPLY RC 278 C1767,0
27800034,HC SUPPLY RC 278 C2631,0
27800035,HC TEP PROVIDER/MD,605.88
27800036,HC SUPPLY RC 278 L8699,0
27800038,HC SUPPLY RC 278 Q4116,0
27800039,HC SUPPLY RC 278 C1788,0
27800040,HC SUPPLY RC 275 C1897,0
27800041,HC SUPPLY RC 278 L8680,0
27800042,HC SUPPLY RC 278 C1784,0
27800044,HC LEAD NEUROSTIMULATOR,"3,078.46"
27800045,HC SUPPLY RC 278 C1883,0
27800046,HC SUPPLY RC 278 C1787,0
27800047,HC SUPPLY RC 278 C2623,0
27800048,HC SUPPLY RC 278 C2624,0
27800049,HC SUPPLY RC 278 Q4118,0
27800050,HC SUPPLY RC 278 C9739,0
27800051,HC SUPPLY RC 278 C9740,0
27800053,HC SUPPLY RC 278 C1783,0
27800113,HC SUPPLY RC 278 C2638,0
27800114,HC SUPPLY RC 278 C1889,0
27800115,HC SUPPLY RC 278 C2625,0
27900001,HC SUPPLY RC 279,0
29100001,HC PT RENTAL,58.05
29200001,HC CRUTCH ADT 5FT 8IN - 6FT 5IN,104.31
29200002,HC CRUTCH ADT 5FT 2IN - 5FT 8IN,104.31
29200003,HC CRUTCH YOUTH 4FT 6IN - 5FT 2IN,104.31
29200004,HC CRUTCH CHILD 4 - 4FT 5IN,104.31
29200005,HC CRUTCHES,244.79
29200006,HC CRUTCHES-WOOD,111.63
29200007,HC CRUTCH TIPS PR,17.36
29200008,HC CRUTCHES-ALUMINUM,218.76
29200009,HC PLATFORM CRUTCH,469.22
29200012,HC ORTHOTIC A,33.22
29200013,HC ORTHOTIC B,73.92
29200014,HC ORTHOTIC C,117.31
29200015,HC ORTHOTIC D,147.83
29200016,HC DP ORTHOTIC A,33.22
29200017,HC DP ORTHOTIC B,73.92
29200018,HC DP ORTHOTIC C,117.31
29200019,HC DP ORTHOTIC D,147.83
29200020,HC QUAD CANE,317.21
29200021,HC HEMI-WALKER,508.43
29200022,HC CANE/WOOD,82.59
29200023,HC WALKER FOREARM ATTACHMENT,477.91
29200024,HC WALKER,457.56
29200025,HC CRUTCH SHOULDER CUSHION PR,60.75
29200026,HC CRUTCH HAND GRIPS PR,58.05
29200027,HC CANE/ADJUSTABLE,195.42
29200028,HC WHEELED WALKER FOOTPIECE/PR,210.07
29200029,HC WALKER/FOLDING,566.18
29200030,HC WALKER/FOLDING/WIDE,585.04
29200031,HC WALKER SWIVEL WHEELED FOOTPIE,548.82
29200032,HC WALKER GLIDEBRAKES,251.97
29200033,HC WALKER FOOT PIECE EXTENSIONS,218.76
29200034,HC WALKER TIPS (EA),5.69
29200035,HC ORTHOTIC 10,33.22
29200040,HC WHEELCHAIR CUSION A,60.75
29200041,HC WHEELCHAIR CUSHION B,91.28
29200042,HC WHEELCHAIR CUSHION C,117.31
29200043,HC WHEELCHAIR CUSHION D,147.83
29200044,HC WHEELCHAIR CUSHION E,175.36
29200045,HC WHEELCHAIR CUSHION F,207.08
29200046,HC WHEELCHAIR CUSHION G,236.11
30000001,HC ROUTINE VENIPUNCTURE,32
30000003,HC ASSAY OF AMIKACIN,164.27
30000005,HC DRUG SCREEN QUANT CLOZAPINE,91.54
30000006,HC ASSAY CARBAMAZEPINE TOTAL,151.73
30000008,HC ASSAY OF DIGOXIN,109.1
30000009,HC ASSAY DIPROPYLACETIC ACID,149.23
30000010,HC ASSAY OF GENTAMICIN,137.94
30000012,HC ASSAY OF LIDOCAINE,112.86
30000013,HC ASSAY OF LITHIUM,95.3
30000015,HC ASSAY OF PHENOBARBITAL,105.34
30000016,HC ASSAY OF PHENYTOIN TOTAL,102.83
30000017,HC ASSAY OF PHENYTOIN FREE,188.1
30000018,HC ASSAY OF PRIMIDONE,110.35
30000019,HC ASSAY OF PROCAINAMIDE,111.61
30000021,HC ASSAY OF SIROLIMUS,94.05
30000023,HC ASSAY OF TACROLIMUS,94.05
30000024,HC ASSAY OF THEOPHYLLINE,96.56
30000025,HC ASSAY OF TOBRAMYCIN,125.4
30000026,HC ASSAY OF TOPIRAMATE,86.53
30000027,HC ASSAY OF VANCOMYCIN,137.94
30000028,HC QUANTITATIVE ASSAY DRUG,94.05
30000029,HC ACTH STIMULATION PANEL,208.16
30000031,HC GONADOTROPIN HORMONE PANEL,400.03
30000033,HC AMINO ACIDS QUAN 6 OR MORE,161.79
30000034,HC ASSAY OF ASCORBIC ACID,65.62
30000035,HC BILE ACIDS TOTAL,99.56
30000036,HC CALCULUS ASSAY QUANT,81.46
30000037,HC ASSAY CARBOXYHB QUANT,100.69
30000038,HC CORTISOL FREE,101.83
30000039,HC COLUMN CHROMOTOGRAPHY QUANT,443.49
30000040,HC DESOXYCORTICOSTERONE,233.06
30000042,HC ASSAY OF ESTRIOL,140.28
30000043,HC ASSAY OF FOLIC ACID RBC,92.77
30000045,HC QUANTITATIVE SCREEN METALS,118.79
30000046,HC HEMOGLOBIN CHROMOTOGRAPHY,107.48
30000047,HC BLOOD METHEMOGLOBIN ASSAY,100.69
30000048,HC ASSAY OF HISTAMINE,403.9
30000049,HC IMMUNOASSAY NONANTIBODY,74.67
30000051,HC ASSAY OF LDH ENZYMES,63.36
30000052,HC ASSAY OF LIPOPROTEIN(A),81.46
30000053,HC ASSAY LIPOPROTEIN PLA2,319.04
30000054,HC ASSAY OF MANGANESE,191.2
30000055,HC ASSAY NEPHELOMETRY NOT SPEC,84.85
30000056,HC ORGANIC ACIDS QUAL EACH,100.69
30000057,HC ASSAY OF BLOOD PKU,974.09
30000058,HC ASSAY OF 17-HYDROXYPREGNENO,277.18
30000059,HC ASSAY OF PROINSULIN,267
30000060,HC ASSAY OF VITAMIN B-2,213.83
30000061,HC ASSAY OF SEX HORMONE GLOBUL,126.71
30000062,HC SPECTROPHOTOMETRY,267
30000063,HC ASSAY OF FREE TESTOSTERONE,279.44
30000064,HC ASSAY OF THYROGLOBULIN,99.56
30000065,HC T3 REVERSE,330.35
30000066,HC ASSAY OF VIP,178.75
30000067,HC ASSAY OF NOS VITAMIN,311.12
30000069,HC CLOT FACTOR VIII AHG 1 STAGE,342.34
30000070,HC FACTOR INHIBITOR TEST,169.29
30000071,HC RBC ANTIBODY ELUTION,179.95
30000072,HC RBC ANTIBODY IDENTIFICATION,204.72
30000073,HC COOMBS TEST DIRECT,64.27
30000074,HC COOMBS TEST INDIRECT QUAL,143.28
30000075,HC COOMBS TEST INDIRECT TITER,162.39
30000076,HC AUTOLOGOUS BLOOD PROCESS,302.84
30000077,HC BLOOD TYPING ABO,39.5
30000078,HC BLOOD TYPING RH (D),39.5
30000079,HC BLOOD TYPING RBC ANTIGENS,83.08
30000080,HC COMPATIBILITY TEST SPIN,87.47
30000081,HC COMPATIBILITY TEST ANTIGLOB,145.07
30000082,HC COMPATIBILITY TEST ELECTRIC,87.47
30000083,HC POOLING BLOOD PLATELETS,129.48
30000084,HC SPLIT BLOOD OR PRODUCTS,128.23
30000085,HC CHROMOSOME STUDY ADDITIONAL,393.76
30000086,HC SPUTUM SPECIMEN COLLECTION,144.21
30000087,HC SPECIMEN HANDLING PT-LAB,48.91
30000088,HC CAPILLARY BLOOD DRAW,114
30000089,HC CATHETERIZE FOR URINE SPEC,66.46
30000092,HC ASSAY OF CYCLOSPORINE,117.88
30000094,HC CLOT FACTOR VIII AHG 1 STAGE,235.75
30000095,HC BLOOD TYPING ABO,76.49
30000096,HC ASSAY OF PYRUVATE KINASE,342.97
30000097,HC CAPILLARY BLOOD DRAW,144
30000100,HC ASSAY OF ETHOSUXIMIDE,82.76
30000101,HC ASSAY OF HALOPERIDOL,110.35
30000102,HC SKELETAL MUSCLE RELAXANTS 1 OR 2,201.89
30000103,HC ANTIPSYCHOTIC  NOT OTHERWISE SPECIFIED,141.7
30000104,HC DRUG SCREEN QUANTALCOHOLS,23.83
30000105,HC BARBITURATES,27.59
30000106,HC METHYLPHENIDATE,55.18
30000107,HC ANTIEPILEPTICS,238.26
30000108,HC METHADONE,26.09
30000110,HC DRUG OR SUB NOT OTHERWISE SPECIFIED 1-3,235.75
30000111,HC OPIATES 1 OR MORE,174.31
30000113,HC ANABOLIC STEROIDS 1 OR 2,66.46
30000115,HC ANTIDEPRESSANTS OTHER CYCLICALS 1 OR 2,28.84
30000116,HC BENZODIAZEPINES 1-12,130.42
30000117,HC ANTIDEPRESSANTS NOT OTHERWISE SPECIFIED,86.53
30000118,HC ANTIDEPRESSANTS 6 OR MORE,18.81
30000119,HC ANALGESICS NON-OPIOID 1 OR 2,86.53
30000120,HC DRUG SCREEN QUANT ALCOHOLS,46.4
30000121,HC DRUG TEST PRSMV CHEM ANLYZR,310.99
30000122,HC DRUG SCREEN QUAN LAMOTRIGINE,68.97
30000123,HC DRUG SCRN QUAN LEVERTIRACETAM,90.29
30000124,HC DRUG SCRN QUAN MYCOPHENOLATE,125.4
30000125,HC DRUG SCREEN QUANT ZONISAMIDE,79
30000126,HC CRI SPECIAL HANDLING L1,5.5
30000127,HC CRI SPECIAL HANDLING L2,11
30000128,HC CRI SPECIAL HANDLING L3,27.5
30000129,HC CRI SPECIAL HANDLING L4,55
30000130,HC CRI SPECIAL HANDLING L5,110
30000131,HC DRUG SCREEN QUANT CAFFEIN,96.56
30000132,HC DRUG SCREEN QUANT GABAPENTIN,90.29
30000133,HC DRUG SCRN QUANT OXCARBAZEPIN,90.29
30000134,"HC MORE AMPHETAMINES, 5 OR MORE",18.81
30000135,"HC ANALGESICS, 6 OR MORE",18.81
30000136,"HC ANTIDEPRESSANTS 6 OR MORE,  SEROTONERGIC CLASS",18.81
30000137,"HC ANTIEPILEPTICS, 7 OR MORE",18.81
30000138,"HC ANTIPSYCHOTICS, NOT SPECIFIED",18.81
30000139,HC BUPRENORPHINE,18.81
30000140,HC COCAINE,18.81
30000141,HC FENTANYL,18.81
30000142,"HC FABAPENTIN, NON BLOOD",18.81
30000143,HC KETAMINIE AND NORKETAMINE,18.81
30000144,HC METHYLENEDIOXYAMPHETAMINES,18.81
30000145,"HC MORE OPIOIDS AND OPIATE, 5 OR MORE",18.81
30000146,HC OXYCODONE,18.81
30000147,HC PREGABALIN,18.81
30000148,HC PROPOXYPHENE,18.81
30000149,HC SEDATIVE HYPNOTICS,18.81
30000150,"HC MORE SKELETAL MUSCLE RELAXANTS, 3 OR MORE",18.81
30000151,"HC STIMULANTS, SYNTHETIC",18.81
30000152,HC TAPENTADOL,18.81
30000153,HC SINGLE CLASS DRUG INSTRUMENTAL,18.81
30000154,HC DRUGS OR SUBSTANCE 7 OR MORE,18.81
30000155,HC OPIODS AND OPIATE ANALOGS,203.5
30000156,HC DRUG TEST DEF 22+ CLASSES,947.1
30000157,HC RBC ANTIBODY SCREEN,127.6
30000158,HC ASSAY OF G6PD ENZYME,98
30000159,HC ORGANIC ACIDS TOTAL QUANT,93
30000161,HC HIA CLASS I HIGH DEFIN QUAL,800
30000162,HC CHEMILUMINESCENT ASSAY,280
30000999,HC DRUG COMPREHENSIVE PANEL,1
30100001,HC METABOLIC PANEL TOTAL CA,249.55
30100002,HC ELECTROLYTE PANEL,86.53
30100003,HC COMPREHEN METABOLIC PANEL,381.22
30100004,HC LIPID PANEL,244.53
30100005,HC ACUTE HEPATITIS PANEL,858.99
30100006,HC HEPATIC FUNCTION PANEL,189.35
30100008,HC ASSAY CARBAMAZEPINE FREE,179.32
30100009,HC CYTOGENETICS DNA PROBE,96.56
30100011,HC FATS/LIPIDS FECES QUAL,124
30100012,HC ACYLCARNITINES QUANT,363.17
30100013,HC ASSAY OF ACTH,214.96
30100014,HC ASSAY OF SERUM ALBUMIN,32.81
30100015,"HC ALBUMIN; OTHER SOURCE, QUANTITATIVE EACH SPECIMEN",32.81
30100016,"HC ALBUMIN; URINE(EG, MICROALBUMIN), QUANTITATIVE",72.4
30100018,HC ASSAY OF ALDOLASE,64.48
30100019,HC ASSAY OF ALDOSTERONE,276.05
30100020,HC ALPHA-1-ANTITRYPSIN TOTAL,118.79
30100021,HC ALPHA-1-ANTITRYPSIN PHENO,88.24
30100022,HC ALPHA-FETOPROTEIN SERUM,101.83
30100023,HC ASSAY OF ALUMINUM,145.95
30100024,HC ASSAY OF AMMONIA,109.74
30100025,HC ASSAY OF AMYLASE,71.28
30100026,HC ASSAY OF ANDROSTENEDIONE,297.55
30100027,HC ANGIOTENSIN I ENZYME TEST,88.24
30100028,HC ASSAY OF APOLIPOPROTEIN,293.02
30100029,HC ASSAY OF ARSENIC,112
30100030,HC ASSAY OF BETA-2 PROTEIN,99.56
30100031,HC BILIRUBIN TOTAL,49.78
30100032,HC BILIRUBIN DIRECT,92.77
30100033,HC OCCULT BLOOD FECES,59.96
30100034,HC MICROSLIDE CONSULTATION,423.85
30100035,HC VITAMIN D 25 HYDROXY,167.44
30100036,HC ASSAY OF CALCITONIN,153.87
30100037,HC CALCIUM SERUM,48.65
30100038,HC ASSAY OF CALCIUM,81.46
30100039,HC ASSAY OF CALCIUM IN URINE,72.4
30100040,HC CARCINOEMBRYONIC ANTIGEN,91.64
30100041,HC ASSAY OF CARNITINE,102.95
30100042,HC ASSAY OF CAROTENE,63.36
30100043,HC ASSAY THREE CATECHOLAMINES,144.82
30100044,HC ASSAY OF CERULOPLASMIN,69.01
30100045,HC CHEMILUMINESCENT ASSAY,185.54
30100046,HC ASSAY OF BLOOD CHLORIDE,41.86
30100047,HC ASSAY OF URINE CHLORIDE,29.41
30100048,HC ASSAY OTHER FLUID CHLORIDES,35.07
30100049,HC ASSAY BLD/SERUM CHOLESTEROL,109.74
30100050,HC ASSAY SERUM CHOLINESTERASE,44.12
30100051,HC ASSAY RBC CHOLINESTERASE,113.14
30100053,HC CHROMOTOGRAPHY QUANT MULT,140.8
30100054,HC ASSAY OF CHROMIUM,101.83
30100055,HC ASSAY OF CITRATE,160.66
30100056,HC COLLAGEN CROSSLINKS,124.45
30100057,HC ASSAY OF COPPER,79.2
30100058,HC TOTAL CORTISOL,256.82
30100059,HC ASSAY OF CK (CPK),109.74
30100060,HC ASSAY OF CPK IN BLOOD,228
30100061,HC CREATINE MB FRACTION,44.12
30100062,HC ASSAY OF CREATININE,42.99
30100063,HC ASSAY OF URINE CREATININE,40.73
30100064,HC CREATININE CLEARANCE TEST,72.4
30100065,HC ASSAY OF CRYOGLOBULIN,39.6
30100066,HC VITAMIN B-12,82.59
30100067,HC DEHYDROEPIANDROSTERONE,315.65
30100068,HC DHEA-S,128.98
30100069,HC DEOXYCORTISOL,166.31
30100070,HC VIT D 1 25-DIHYDROXY,214.96
30100071,HC ASSAY OF ERYTHROPOIETIN,112
30100072,HC ASSAY OF ESTRADIOL,220.62
30100073,HC ASSAY OF ESTROGEN,126.71
30100074,HC ASSAY OF ESTRONE,269.26
30100075,HC ASSAY OF ETHYLENE GLYCOL,233.06
30100076,HC FATS/LIPIDS FECES QUAL,53.17
30100077,HC FATS/LIPIDS FECES QUANT,101.83
30100078,HC ASSAY OF FERRITIN,132.36
30100079,HC ASSAY OF FETAL FIBRONECTIN,672.02
30100080,HC ASSAY OF FOLIC ACID SERUM,84.85
30100081,HC ASSAY IGA/IGD/IGG/IGM EACH,173.1
30100082,HC ASSAY OF IGE,100.69
30100083,HC IGG 1 2 3 OR 4 EACH,56.57
30100084,HC BLOOD GASES ANY COMBINATION,379.01
30100085,HC ASSAY OF GASTRIN,105.22
30100086,HC ASSAY OF GLUCAGON,248.9
30100087,HC GLUCOSE OTHER FLUID,49.78
30100088,HC ASSAY GLUCOSE BLOOD QUANT,33.95
30100089,HC GLUCOSE TEST,35.07
30100090,HC GLUCOSE TOLERANCE TEST (GTT),106.35
30100092,HC TEST FOR G6PD ENZYME,106.35
30100094,HC ASSAY OF GGT,136.9
30100095,HC ASSAY OF GLYCATED PROTEIN,92.77
30100097,HC ASSAY OF GONADOTROPIN (LH),79
30100098,HC ASSAY GROWTH HORMONE (HGH),101.83
30100099,HC ASSAY OF HAPTOGLOBIN QUANT,237.59
30100100,HC H PYLORI (C-13) BREATH,283.97
30100101,HC GTT-ADDED SAMPLES,35.07
30100102,HC FETAL HEMOGLOBIN ASSAY QUAL,72.4
30100103,HC ASSAY BLOOD CARBON DIOXIDE,24.89
30100104,HC ASSAY OF PLASMA HEMOGLOBIN,53.17
